prop,seed,split,inst,blind,ue,gnn,recovered
Heat,1,in-dist,2,78.97703064658081,34.36214518317828,34.68006112354395,0.9928742181658976
Heat,1,in-dist,3,73.15169087765548,34.221128470898734,36.01466768218427,0.9539297893375861
Heat,1,ood-largeshell,0,1923.6878196393977,110.38160136999234,269.183697700517,0.9124240049857198
Heat,1,ood-largeshell,1,2538.1731085067845,110.00544507682255,309.7247123199936,0.9177489799196761
Heat,1,ood-largeshell,2,2798.1282869065853,117.7455030663386,398.9918531028867,0.8950723188746945
Heat,1,ood-largeshell,3,2370.6767122671395,109.73434264368998,376.39812349185104,0.8820563564861794
QW,1,in-dist,0,94.05154983375954,39.274521286302786,46.1772672403831,0.8739846585854865
QW,1,in-dist,1,75.74770820809829,36.54490906910878,39.77656975999918,0.9175655626162593
QW,1,in-dist,2,78.97703064658081,34.36214518317828,35.037528961809564,0.9848619183571523
QW,1,in-dist,3,73.15169087765548,34.221128470898734,38.34232270525277,0.8941398741868993
QW,1,ood-largeshell,0,1923.6878196393977,110.38160136999234,408.1042280934987,0.8358122727844342
QW,1,ood-largeshell,1,2538.1731085067845,110.00544507682255,481.0725400508107,0.8471822598733445
QW,1,ood-largeshell,2,2798.1282869065853,117.7455030663386,653.4352893268083,0.8001442967437008
QW,1,ood-largeshell,3,2370.6767122671395,109.73434264368998,503.7355749126514,0.8257358358344266
GCN,2,in-dist,0,74.44975688765689,33.85898255315473,34.90067627484943,0.9743366876150165
GCN,2,in-dist,1,99.84592034995008,37.21352115391751,39.17857575950101,0.9686255894583714
GCN,2,in-dist,2,76.0428923176035,34.13177028193785,37.18856059567605,0.9270649372942836
GCN,2,in-dist,3,102.7875632745541,35.639780590975974,37.79892045953037,0.9678449565679783
GCN,2,ood-largeshell,0,2843.918087921925,116.99090743364819,276.4554889513619,0.9415222442833401
GCN,2,ood-largeshell,1,1865.9892633813827,106.17922521431352,191.2791771796422,0.951642535205695
GCN,2,ood-largeshell,2,2301.5463195448665,111.9518443729585,223.58778076236288,0.9490152456743663
GCN,2,ood-largeshell,3,1828.1492459545725,109.64655669666988,222.44881618140863,0.9343601495709909
Heat,2,in-dist,0,74.44975688765689,33.85898255315473,34.90717380185653,0.9741766136298899
Heat,2,in-dist,1,99.84592034995008,37.21352115391751,38.92015089149229,0.972751646759799
Heat,2,in-dist,2,76.0428923176035,34.13177028193785,36.935161350079994,0.9331110470925472
Heat,2,in-dist,3,102.7875632745541,35.639780590975974,37.19644197345115,0.9768173821939786
Heat,2,ood-largeshell,0,2843.918087921925,116.99090743364819,331.42772902861225,0.9213632020945395
Heat,2,ood-largeshell,1,1865.9892633813827,106.17922521431352,218.60468769480866,0.9361150010272745
Heat,2,ood-largeshell,2,2301.5463195448665,111.9518443729585,274.867585197744,0.9255954731928181
Heat,2,ood-largeshell,3,1828.1492459545725,109.64655669666988,251.65282262811576,0.917366282392745
QW,2,in-dist,0,74.44975688765689,33.85898255315473,34.71934826848624,0.9788039097692157
QW,2,in-dist,1,99.84592034995008,37.21352115391751,38.591125610874336,0.9780049227773461
QW,2,in-dist,2,76.0428923176035,34.13177028193785,38.58299555165778,0.8937936983426018
QW,2,in-dist,3,102.7875632745541,35.639780590975974,37.658842127862904,0.9699310765568924
QW,2,ood-largeshell,0,2843.918087921925,116.99090743364819,350.6874405289766,0.9143004130189194
QW,2,ood-largeshell,1,1865.9892633813827,106.17922521431352,223.10597383036838,0.9335571760132474
QW,2,ood-largeshell,2,2301.5463195448665,111.9518443729585,328.3655305067648,0.901162663411993
QW,2,ood-largeshell,3,1828.1492459545725,109.64655669666988,299.70308994511686,0.8894057399872218
