shell,seed,unit_of_analysis,recovered_gnn_tau0.05,recovered_gnn_tau0.1,recovered_gnn_tau0.2,recovered_gnn_tau0.35,recovered_gnn_tau0.5,recovered_gnn_tau1.0,recovered_gnn_tau2.0,recovered_gnn_tau3.5,recovered_gnn_tau5.0,recovered_gnn_tau8.0,recovered_ecmp_eps0.05,recovered_ecmp_eps0.1,recovered_ecmp_eps0.2,recovered_ecmp_eps0.35,recovered_ecmp_eps0.5,recovered_ecmp_eps0.75,machine,best_tau,best_eps,gap_fair,cost_of_fixed_tau
w198_i53,2,vo-x-seed,0.5497,0.7242,0.8931,0.9607,0.9767,0.9849,0.9857,0.9855,0.9854,0.9853,0.8599,0.9274,0.9761,0.976,0.976,0.976,Linux-x86_64-sol1,2.0,0.2,0.0096,0.0926
w198_i53,3,vo-x-seed,0.7197,0.8151,0.9172,0.9652,0.9779,0.9846,0.9851,0.9848,0.9847,0.9845,0.8546,0.9404,0.9731,0.9731,0.9731,0.9731,Linux-x86_64-sol1,2.0,0.2,0.012,0.0679
w198_i53,4,vo-x-seed,0.5291,0.7408,0.9029,0.9636,0.9783,0.9859,0.9865,0.9864,0.9863,0.9862,0.8552,0.9288,0.9748,0.9751,0.9751,0.9751,Linux-x86_64-sol1,2.0,0.2,0.0117,0.0836
w198_i53,5,vo-x-seed,0.68,0.7967,0.9071,0.9579,0.9722,0.9797,0.9804,0.9803,0.9802,0.98,0.8141,0.9201,0.9752,0.9751,0.9751,0.9751,Linux-x86_64-sol1,2.0,0.2,0.0052,0.0733
w198_i53,6,vo-x-seed,0.3688,0.5788,0.8196,0.9277,0.9557,0.9732,0.9767,0.9774,0.9776,0.9777,0.8641,0.9124,0.966,0.9661,0.9661,0.9661,Linux-x86_64-sol1,2.0,0.2,0.0107,0.1571
w198_i53,7,vo-x-seed,0.4955,0.6913,0.8836,0.957,0.9739,0.9823,0.9831,0.983,0.9828,0.9827,0.8407,0.9374,0.9765,0.9763,0.9763,0.9763,Linux-x86_64-sol1,2.0,0.2,0.0066,0.0995
w264_i53,0,vo-x-seed,0.6345,0.785,0.9115,0.9611,0.9729,0.9785,0.9792,0.9793,0.9793,0.9792,0.8526,0.9211,0.9753,0.9753,0.9753,0.9753,Linux-x86_64-sol1,5.0,0.2,0.004,0.0678
w264_i53,1,vo-x-seed,0.6625,0.8012,0.9135,0.9556,0.9676,0.9767,0.9792,0.9798,0.98,0.9802,0.8433,0.9194,0.9796,0.9796,0.9796,0.9796,Linux-x86_64-sol1,5.0,0.2,0.0004,0.0665
w264_i53,2,vo-x-seed,0.5925,0.7564,0.9023,0.9536,0.9662,0.9737,0.9749,0.9751,0.975,0.975,0.8675,0.9011,0.9713,0.9713,0.9713,0.9713,Linux-x86_64-sol1,5.0,0.2,0.0037,0.0727
w264_i53,3,vo-x-seed,0.6571,0.7804,0.8996,0.949,0.9601,0.9645,0.9649,0.9649,0.9649,0.9649,0.8452,0.8985,0.9644,0.9644,0.9644,0.9644,Linux-x86_64-sol1,5.0,0.2,0.0005,0.0653
w264_i53,4,vo-x-seed,0.6443,0.7815,0.9049,0.9546,0.9667,0.9734,0.9749,0.9752,0.9753,0.9754,0.8559,0.9036,0.9666,0.9667,0.9667,0.9667,Linux-x86_64-sol1,5.0,0.2,0.0087,0.0704
w264_i53,5,vo-x-seed,0.5216,0.7191,0.8969,0.9579,0.9702,0.9754,0.9761,0.9762,0.9762,0.9761,0.8326,0.8989,0.9713,0.9713,0.9713,0.9713,Linux-x86_64-sol1,5.0,0.2,0.0049,0.0793
w264_i53,6,vo-x-seed,0.6734,0.7959,0.9114,0.9603,0.9725,0.9781,0.9782,0.9779,0.9778,0.9776,0.8512,0.9123,0.9741,0.9741,0.9741,0.9741,Linux-x86_64-sol1,5.0,0.2,0.0037,0.0664
w264_i53,7,vo-x-seed,0.5227,0.6877,0.8665,0.9429,0.9612,0.9723,0.975,0.9755,0.9757,0.9758,0.8479,0.9136,0.9737,0.9737,0.9737,0.9737,Linux-x86_64-sol1,5.0,0.2,0.002,0.1092
w264_i70,0,vo-x-seed,0.7555,0.8356,0.9286,0.9708,0.9821,0.9884,0.989,0.9888,0.9887,0.9886,0.5575,0.7825,0.9241,0.9649,0.9677,0.9677,Linux-x86_64-sol1,2.0,0.5,0.0213,0.0604
w264_i70,1,vo-x-seed,0.7579,0.8274,0.9184,0.9667,0.9808,0.9897,0.9912,0.9914,0.9915,0.9915,0.5848,0.8067,0.9334,0.9711,0.9733,0.9733,Linux-x86_64-sol1,2.0,0.5,0.0179,0.0728
w264_i70,2,vo-x-seed,0.7674,0.851,0.9319,0.9729,0.9839,0.9896,0.9898,0.9896,0.9895,0.9893,0.5754,0.7922,0.9208,0.9668,0.9696,0.9696,Linux-x86_64-sol1,2.0,0.5,0.0202,0.0579
w264_i70,3,vo-x-seed,0.8297,0.8853,0.9428,0.9718,0.9803,0.9861,0.9874,0.9877,0.9878,0.9879,0.5718,0.7742,0.9096,0.9649,0.968,0.968,Linux-x86_64-sol1,2.0,0.5,0.0194,0.0446
w264_i70,4,vo-x-seed,0.8169,0.8796,0.9426,0.973,0.9824,0.9887,0.9899,0.99,0.9901,0.9901,0.5717,0.7821,0.9211,0.9657,0.9679,0.9679,Linux-x86_64-sol1,2.0,0.5,0.022,0.0473
w264_i70,5,vo-x-seed,0.7262,0.8175,0.9156,0.9644,0.9788,0.9874,0.9885,0.9885,0.9885,0.9885,0.538,0.7594,0.9222,0.9685,0.9707,0.9707,Linux-x86_64-sol1,2.0,0.5,0.0178,0.0729
w264_i70,6,vo-x-seed,0.8172,0.875,0.9368,0.9701,0.9801,0.9857,0.986,0.9859,0.9858,0.9857,0.5544,0.7736,0.9169,0.9611,0.9644,0.9644,Linux-x86_64-sol1,2.0,0.5,0.0216,0.0492
w264_i70,7,vo-x-seed,0.7615,0.8447,0.9324,0.972,0.983,0.9891,0.9896,0.9894,0.9893,0.9892,0.5896,0.7753,0.9247,0.97,0.9721,0.9721,Linux-x86_64-sol1,2.0,0.5,0.0175,0.0572
